arc,trucks
"(1, 6)",1
"(2, 3)",2
"(3, 8)",1
"(4, 5)",1
"(5, 10)",1
"(6, 1)",1
"(6, 7)",1
"(6, 11)",2
"(7, 2)",1
"(7, 8)",1
"(8, 3)",1
"(8, 7)",1
"(8, 9)",1
"(8, 13)",1
"(9, 4)",2
"(9, 8)",2
"(10, 15)",2
"(11, 12)",1
"(11, 16)",3
"(12, 11)",1
"(12, 13)",1
"(12, 17)",1
"(13, 8)",1
"(13, 18)",1
"(14, 9)",3
"(14, 15)",1
"(14, 19)",1
"(15, 10)",1
"(15, 14)",2
"(16, 11)",1
"(16, 17)",1
"(16, 21)",2
"(17, 12)",1
"(17, 18)",1
"(18, 17)",1
"(18, 19)",5
"(18, 23)",3
"(19, 14)",3
"(19, 18)",2
"(19, 20)",1
"(19, 24)",1
"(20, 15)",1
"(20, 19)",2
"(20, 25)",1
"(21, 16)",3
"(21, 22)",2
"(22, 21)",4
"(22, 23)",2
"(23, 18)",1
"(23, 22)",4
"(23, 24)",1
"(24, 23)",1
"(24, 25)",1
